material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,is_metal,is_stable,nsites,density,nelements,elements,chemsys,key
mp-1205047,AgH36C15S3N6Cl,3.46,-0.214160620430107,0.112317902943549,False,False,248,1.314353278134514,6,"['Ag', 'C', 'Cl', 'H', 'N', 'S']",Ag-C-Cl-H-N-S,AgH36C15S3N6Cl
mp-1199373,AgH8C3S2ClO4,3.3939,-0.341327491074561,0.589549265780076,False,False,152,2.219628782143774,6,"['Ag', 'C', 'Cl', 'H', 'O', 'S']",Ag-C-Cl-H-O-S,AgH8C3S2ClO4
mp-1189890,AgC4NCl2,0.0,1.754109700944008,1.923115441354165,True,False,16,2.064907119133847,4,"['Ag', 'C', 'Cl', 'N']",Ag-C-Cl-N,AgC4NCl2
mp-1198516,Ag3CN(ClO5)2,1.356599999999999,0.01231062117647,0.772520699103855,False,False,34,3.481553644069474,5,"['Ag', 'C', 'Cl', 'N', 'O']",Ag-C-Cl-N-O,Ag3CN(ClO5)2
mp-680067,Ag2CSNClO4,2.5318,-0.246439743583333,0.8971311421000001,False,False,40,3.866168255266946,6,"['Ag', 'C', 'Cl', 'N', 'O', 'S']",Ag-C-Cl-N-O-S,Ag2CSNClO4
mp-1183000,AgC8S4N4Cl,0.000399999999999,0.8842600724007931,0.9474200650396832,False,False,18,1.365817579481941,5,"['Ag', 'C', 'Cl', 'N', 'S']",Ag-C-Cl-N-S,AgC8S4N4Cl
mp-1215161,AgC2S2N4Cl,0.0,0.741330343660719,0.8550183304107151,True,False,80,2.184633556522782,5,"['Ag', 'C', 'Cl', 'N', 'S']",Ag-C-Cl-N-S,AgC2S2N4Cl
mp-1214992,AgW6CCl18,0.079999999999999,-0.855049726794872,0.011629737820509,False,False,52,4.85185612086694,4,"['Ag', 'C', 'Cl', 'W']",Ag-C-Cl-W,AgW6CCl18
mp-6573,CoAg3(CN)6,3.4249,0.2434671837499999,0.2434671837499999,False,False,16,2.705796530612678,4,"['Ag', 'C', 'Co', 'N']",Ag-C-Co-N,CoAg3(CN)6
mp-647969,CoAg(CO)4,2.5425,-0.713803348416666,0.384357280833328,False,False,40,2.704748725271551,4,"['Ag', 'C', 'Co', 'O']",Ag-C-Co-O,CoAg(CO)4
mp-10101,CsAgC2,2.6118,0.366390490919539,0.389261980897988,False,False,8,3.446395357659245,3,"['Ag', 'C', 'Cs']",Ag-C-Cs,CsAgC2
mp-1192822,CsCuAg2(CN)4,2.2889,0.072840341417624,0.20601406986111,False,False,24,3.46489904656741,5,"['Ag', 'C', 'Cs', 'Cu', 'N']",Ag-C-Cs-Cu-N,CsCuAg2(CN)4
mp-1199489,CsAgH12C4S4(NO4)2,4.2155,-0.746428140666307,0.315011999313614,False,False,64,2.224228456283779,7,"['Ag', 'C', 'Cs', 'H', 'N', 'O', 'S']",Ag-C-Cs-H-N-O-S,CsAgH12C4S4(NO4)2
mp-683972,Cs5Ag4C8IN8,2.7962,-0.232262947305481,0.13356341378205,False,False,156,3.4975128145546392,5,"['Ag', 'C', 'Cs', 'I', 'N']",Ag-C-Cs-I-N,Cs5Ag4C8IN8
mp-630391,CsZnAgC4(SN)4,2.8679,-0.301684750254789,0.091074949833332,False,False,60,2.5403256345146312,6,"['Ag', 'C', 'Cs', 'N', 'S', 'Zn']",Ag-C-Cs-N-S-Zn,CsZnAgC4(SN)4
mp-1190630,KCuAg2(CN)4,2.2166,0.13291803666667,0.269577004236111,False,False,24,3.124186441221214,5,"['Ag', 'C', 'Cu', 'K', 'N']",Ag-C-Cu-K-N,KCuAg2(CN)4
mp-1192412,RbCuAg2(CN)4,2.2612,0.074918677847222,0.264975211597219,False,False,24,3.303075305218692,5,"['Ag', 'C', 'Cu', 'N', 'Rb']",Ag-C-Cu-N-Rb,RbCuAg2(CN)4
mp-728890,CuAgC3S3N7,0.566299999999999,0.512488608319942,0.561364050656747,False,False,30,1.9732919243813407,5,"['Ag', 'C', 'Cu', 'N', 'S']",Ag-C-Cu-N-S,CuAgC3S3N7
mp-866657,DyAgH2C2SO9,2.9023,-1.923310132708333,0.061159473715275,False,False,32,4.033930633981746,6,"['Ag', 'C', 'Dy', 'H', 'O', 'S']",Ag-C-Dy-H-O-S,DyAgH2C2SO9
mp-3250118,DyAg(CO3)2,3.456199999999999,-1.92280068725,0.0,False,True,10,5.215591282367502,4,"['Ag', 'C', 'Dy', 'O']",Ag-C-Dy-O,DyAg(CO3)2
mp-3246969,ErAg(CO3)2,3.4676,-1.9327574910833327,0.0,False,True,10,5.36184017037652,4,"['Ag', 'C', 'Er', 'O']",Ag-C-Er-O,ErAg(CO3)2
